tweet,label
"Nah gara² kenaikan bbm ini, okelah mau ga mau ya gmn lg kan? 😑 terpaksa beli bbm pemerintah. Tp meski harganya naik (aq pake pertalite) sudah isi full, tp kok boros buangeeet 😤",kontra
"@PKSejahtera @aboebakar15 Fokus tolak kenaikan BBM dan tolak pengadaan Mobil listrik, yang saat ini sangat memberatkan ekonomi Masyarakat",kontra
"Kenaikan tarif ojek online membuat pengguna beralih ke moda transportasi lainnya. Di saat yang sama, pendapatan pengemudi ojol juga semakin terjepit imbas kenaikan harga BBM.  https://t.co/QYHqoUWQ8c",kontra
Poster Jokowi Mundur di Aksi 10.10 Tolak Kenaikan BBM  https://t.co/SrO4uW7c4C #TempoFoto,kontra
"Pemberian subsidi BBM ini untuk meringankan beban para sopir angkutan umum usai adanya kenaikan harga BBM, sehingga nantinya tidak ada kenaikan tarif bagi penumpang. #publisherstory #beritabojonegoro  https://t.co/heW8ysgDIE",pro
"Maka, semakin jauhlah persoalan kenaikan harga BBM... Horeee",pro
"Sejak kenaikan harga menjadi Rp 10.000 per liter, BBM jenis Pertalite terus dituding boros. Tapi, mungkin ini yang bikin BBM tambah boros!  https://t.co/nQNnJ9r6M5",kontra
"Menteri BUMN Erick Thohir saat melakukan kunjungan kerja dalam rangka Program SOLUSI Nelayan ke JL. Nambangan Perak, Desa Kedung Cowek, Bulak.  Program ini digagas @erickthohir utk membantu masyarakat khususnya para nelayan yg terdampak dari kenaikan BBM.  #BangkitBersamaET  https://t.co/CLqyQek37K",pro
"Jakarta 10 0ktober 2022 Patung Kuda   Demo buruh hari ini dipatung kuda, demo tolak kenaikan harga bbm, turunkan tarif listrik, harga pangan, turunkan jokowi  https://t.co/qzxQvSuM8Y",kontra
"Pastikan Tak Ada Kenaikan Tarif Angkutan, Pemkab Blora Berikan Bantuan Subsidi BBM  https://t.co/FYJt4mKLQW",pro
Langkah ini segera diambil @erickthohir guna membantu masyarakat khususnya para nelayan yang terdampak dari kenaikan Bahan Bakar Minyak (BBM). Pemerintah menargetkan program tersebut bisa direalisasikan untuk para nelayan di seluruh Indonesia. #BangkitBersamaET  https://t.co/evZdR9rGkM,pro
Personel Polsek Lumbis melaksanakan himbauan kepada warga masyarakat di wilayah Kecamatan Lumbis yang melaksanakan aktivitas agar selalu berhati-hati dan tetap menjaga kondusifitas wilayah agar tetap aman baik melewati perubahan situasi pasca kenaikan BBM maupun jelang pemilu  https://t.co/YT029vrlI9,pro
Tak perlu cemas pemerintah pastikan ketersediaan pangan pakok ditengah kenaikan harga BBM subsidi  #BBMSubsidi #BBMBersubsidi #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran #SemuaDemiKesejahteraan Jawa Barat  https://t.co/CGsXYgLDj6,pro
pemerintah pastikan ketersediaan pangan pokok di tengah kenaikan harga BBM subsidi #BBMSubsidi #BBMBersubsidi #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran #SemuaDemiKesejahteraan Jawa Tengah  https://t.co/JuOoBCRYO9,pro
Info dasar hukum kenaikan BBM,kontra
Aksi Buruh didepan kantor DPRD Sumatera Utara  Dengan Tuntutan: •Tolak kenaikan harga BBM &amp; bahan pokok •Cabut UU OmnibusLaw •Tolak RUU KUHP dll..  (10/Okt/2022)  https://t.co/bM7z0CLRE6,kontra
pentol bakar favorit gue yg biasanya seribu pertusuk sekarang naik jadi 2rb 😭😭😭 yg biasa 10rb dapet 10 tusuk sekarang cuma dapet 5 aja 😭😭 ga pernah w merasa sesedih ini sebelumnya sejak kenaikan bbm. serius,kontra
Pemerintah pastikan ketersediaan pangan pokok di tengah kenaikan harha bbm subsidi   #BBMSubsidi #BBMBersubsidi #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran #SemuaDemiKesejahteraan Jambi Kita  https://t.co/vUUaUsnLwF,pro
"JAKARTA, Kompas Sulawesi - Kenaikan harga bahan bakar minyak (BBM) pada awal September menimbulkan protes dari banyak pihak. Namun, pengamat mengatakan harga baru BBM itu membuat pemerintah hemat Rp33,23 triliun  https://t.co/NF5BXDuKE6",pro
"Extra 40 menit, mahasiswanya lagi demo kenaikan BBM",kontra
Aksi Massa Buruh Tolak Kenaikan Harga BBM di Patung Kuda Bikin Macet  https://t.co/JshIWnde4s,kontra
Tak perlu cemas. Pemerintah pastikan ketersediaan pangan pokok di tengah kenaikan harga BBM subsidi #BBMSubsidi #BBMBersubsidi #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran #SemuaDemiKesejahteraan •Maluku Baku Kele•  https://t.co/eQfps0N0LD,pro
"Tolak Kenaikan BBM 🔥🔥 Aksi Rakyat Bersatu 1010 di Patung Kuda, Jakarta.  https://t.co/ggfIPEFgKp",kontra
Pemerintah pastikan ketersediaan pangan pokok ditengah kenaikan harga BBM Subsidi  #BBMSubsidi #BBMBersubsidi #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran #SemuaDemiKesejahteraan Sumatera Barat  https://t.co/BNo60CFZsb,pro
Sudah sebulan lebih harga BBM naik. Terutama Pertalite dan solar subsidi. Saat kenaikan banyak diprotes muncul informasi bahwa kualitas BBM bersubsidi itu turun. Dibarengi dengan peralihan pelanggan ke SPBU swasta.  https://t.co/XPm2Ai3ox2 #HarianDisway,kontra
Kenaikan harga BBM beberapa waktu lalu telah mengerek laju inflasi di negeri ini. Pemerintah pun menyadari dampak kebijakan itu. Bantalan berupa alokasi dana perlindungan bantuan sosial pun disiapkan pemerintah.  https://t.co/QvezVzHMcu,pro
"Pengamat Sebut Kenaikan Harga BBM Hemat Anggaran Subsidi Rp33,23 T  https://t.co/I0btSa7qMV",pro
Polsek Pamulang melaksanakan pemantauan SPBU pasca kenaikan harga BBM di SPBU Pertamina Wilkum Pamulang. Situasi aman dan terkendali. Senin (10/10)  https://t.co/iCYZN8Zxdj,pro
Bagaimana cara konsumen bisa menggugat pemerintah tentang kenaikan harga BBM yang hampir 40% kenaikan nya akan tetapi kwalitasnya rendah.,kontra
Penyesuaian Harga BBM utk kebaikan kita semua Sulawesi Utara #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran  https://t.co/oHiPnEsHwG,pro
Umat dah buruh mahasiswa geruduk Istana  atas kenaikan BBM digunakan untuk pilpres bagi2 BLT   https://t.co/Qh3OCuGr2V,kontra
"Peduli Terdampak Kenaikan BBM, Polda Kaltim Bagikan 1500 Paket Sembako kepada Masyarakat  https://t.co/CP0vj7x7VS",pro
APDESI Jabar Pelototi Penyaluran BLT Dampak Kenaikan Harga BBM - Radar Bandung  https://t.co/qfWmkOxc1Q,pro
Bhabinkamtibmas kel padangmatinggi Aiptu agus salim pane berikan himbauan Kamtibmas kepada warga  adanya kenaikan harga BBM di kel padangmatinggi senin 10/10/2022 pukul 11:00 wib.  https://t.co/edsaEsmR4F,pro
Aksi 1010 Demo Kenaikan Harga BBM  https://t.co/SjRCiFMvf9,kontra
Pemerintah pastikan ketersediaan pangan pokok di tengah kenaikan harga BBM #BBMSubsidi #BBMBersubsidi #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran #SemuaDemiKesejahteraan  Sulawesi Utara  https://t.co/I1KSb4yjZn,pro
Tidak perlu cemas Penyesuaian Harga BBM untuk kebaikan   Kepulauan Riau   #BBMSubsidi #BBMBersubsidi #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran #SemuaDemiKesejahteraan  https://t.co/WpInkykgAR,pro
"Disdagin Kota Bandung menggelar Pasar Murah sebagai langkah antisipasi inflasi pasca kenaikan harga BBM. Hal itu pun disambut baik oleh masyarakat, terbukti dalam 9 hari penyelenggaraan transaksi pasar murah nyaris menembus angka Rp1 miliar.  #MGTRADIO #MGTNews #MGTPlay  https://t.co/IBqhEKSda0",pro
"Abu Abdurahman Abdullah bin Mas’ud Radyiallahuanhu berkata …”Biasakanlah melakukan kebaikan, kerana sesuatu kebaikan itu hanyalah boleh dilakukan dgn kebiasaan.” shahih mushannafabdurazaq 4742",pro
pemerintah pastikan ketersediaan pangan pokok di tengah kenaikan BBM. aceh. #BBMSubsidi #BBMBersubsidi #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran #SemuaDemiKesejahteraan  https://t.co/kDP4H2wYTh,pro
Kami pedagang kecil di Daerah Istimewa Yogyakarta sangat mendukung penyesuaian harga bbm.. untuk kebaikan bersama  Harga BBM Yogyakarta #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran  https://t.co/3NnMIKY6hk,pro
"Update:           AKSI BELA RAKYAT 3                Bersama GNPR ( Gerakan Nasional Pembela Rakyat )  Senin, 10 Oktober 2022 Di Patung Kuda   Tiga Tuntutan Rakyat; 1.Tolak Kenaikan Harga BBM 2.Turunkan Harga Harga 3.Tegakkan Supremasi Hukum  https://t.co/nFDJXaAMY6",kontra
BLT Solusi di tengah kenaikan harga BBM #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan Sumatera Barat  https://t.co/bbU81FDaQy,pro
"Pandemi : taking your job Kredit ditawarkan dengan mudah, bunga 0 persen persyaratan yg sangat gampang, kesadaran investasi semakin tinggi terutama properties di imbangi dengan harga properti yg tinggi, kebutuhan pangan semakin naik dimulai dari kenaikan bbm,",kontra
Market Demand Kendaraan Listrik Terdorong Momentum Kenaikan Harga BBM  https://t.co/q5U4yJN2tK  https://t.co/PBECFxoQxr,pro
"@Tita83079013 AKUN...? #KAFIRKOMUNISPKI  PETUGAS PROVOKATOR UNTUK MEMECAH BELAH RKYT DEMI PENGALIHAN ISU JUTAAN RKYT YG DI RUGIKAN , TERCEKIK OLEH KEBIJAKAN KENAIKAN BBM DAN KENAIKAN HARGA2 SGL MACAM KEBUTUHAN RKYT LAINNYA ?  https://t.co/VqSZ6Rptu3",kontra
Organisasi buruh yang tergabung dalam Aliansi Aksi Sejuta Buruh (AASB) gelar aksi unjuk rasa yang menolak kenaikan harga BBM dan menuntut kenaikan upah buruh. #Buruh #BBMBersubsidi #Demo #patungkuda   https://t.co/DOBixM8Kzv,kontra
Harga bahan pokok dipastikan aman di tengah kenaikan harga BBM subsidi  #BBMSubsidi #BBMBersubsidi #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran #SemuaDemiKesejahteraan  - Salam dari Aceh -  https://t.co/OzTDhwbG30,pro
"Pemerintah Kabupaten Situbondo, Jawa Timur, mengalokasikan anggaran sebesar Rp4,3 miliar untuk bantuan langsung tunai dampak kenaikan harga bahan bakar minyak atau BLT BBM sebagai upaya membantu warga terdampak dan juga menekan laju inflasi.  https://t.co/odeO9PYEjr",pro
Pemerintah pastikan ketersediaan pangan pokok di tengah kenaikan harga BBM subsidi  #BBMSubsidi #BBMBersubsidi #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran #SemuaDemiKesejahteraan  - Salam dari Aceh -  https://t.co/e5n5AfEVFt,pro
"BLT itu solusi di tengah kenaikan harga BBM, kudu didukung penuh nih program BLT BBM ini , Tepat #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran #SukseskanKebijakanPemerintah #SubsidiBerkeadilanUntukMasaDepan Banten  https://t.co/tIQhZFdUx4",pro
"Bhabinkamtibmas Kec.Pematang Jaya Polsek Pangkalan Susu BRIGADIR RICO SURYA ARDANA D, SH bersama dengan Kepala Desa Pulau Kampai serta Babinsa Desa Serang Jaya Hilir dan Babinsa Pulau Kampai berkordinasi &amp; bertukar pendapat tentang Pasca kenaikan BBM secara nasional.  https://t.co/56bE8HzTwK",pro
